ISO3,Year,Month,Total,Domestic,International,Total_OS,ADM_name,Date,Name,Type
ALB,2010,1,,,,117.35,Albania,2010-01-01,New Year's Day,Public holiday
ALB,2010,1,,,,117.35,Albania,2010-01-02,New Year's Day (Day 2),Public holiday
ALB,2010,2,,,,86.535,Albania,2010-02-14,Valentine's Day,Observance
ALB,2010,3,,,,103.795,Albania,2010-03-08,Mothers' Day,Observance
ALB,2010,3,,,,103.795,Albania,2010-03-14,Summer Day,Public holiday
ALB,2010,3,,,,103.795,Albania,2010-03-22,Nevruz Day,Public holiday
ALB,2010,4,,,,102.038,Albania,2010-04-02,Good Friday,Observance
ALB,2010,4,,,,102.038,Albania,2010-04-02,Good Friday (Orthodox),Observance
ALB,2010,4,,,,102.038,Albania,2010-04-03,Easter Saturday (Orthodox),Observance
ALB,2010,4,,,,102.038,Albania,2010-04-03,Holy Saturday,Observance
ALB,2010,4,,,,102.038,Albania,2010-04-05,Easter Monday,Observance
ALB,2010,4,,,,102.038,Albania,2010-04-05,Easter Monday (Orthodox),Observance
ALB,2010,4,,,,102.038,Albania,2010-04-04,Easter Sunday,Public holiday
ALB,2010,4,,,,102.038,Albania,2010-04-04,Easter Sunday (Orthodox),Public holiday
ALB,2010,5,,,,109.037,Albania,2010-05-01,International Worker?s Day,Public holiday
ALB,2010,6,,,,126.159,Albania,2010-06-20,Fathers' Day,Observance
ALB,2010,7,,,,181.095,,,,
ALB,2010,8,,,,226.824,,,,
ALB,2010,9,,,,148.392,Albania,2010-09-05,Mother Teresa Beatification Day,Public holiday
ALB,2010,9,,,,148.392,Albania,2010-09-10,Eid al-Fitr,Public holiday
ALB,2010,10,,,,110.346,Albania,2010-10-31,Halloween,Observance
ALB,2010,11,,,,93.342,Albania,2010-11-17,Feast of the Sacrifice,Public holiday
ALB,2010,11,,,,93.342,Albania,2010-11-28,Flag and Independence Day,Public holiday
ALB,2010,11,,,,93.342,Albania,2010-11-29,Liberation Day,Public holiday
ALB,2010,12,,,,131.909,Albania,2010-12-24,Christmas Eve,Observance
ALB,2010,12,,,,131.909,Albania,2010-12-31,New Year's Eve,Observance
ALB,2010,12,,,,131.909,Albania,2010-12-08,National Youth Day,Public holiday
ALB,2010,12,,,,131.909,Albania,2010-12-25,Christmas Day,Public holiday
ALB,2011,1,,,,135.743,Albania,2011-01-01,New Year's Day,Public holiday
ALB,2011,1,,,,135.743,Albania,2011-01-02,New Year's Day (Day 2),Public holiday
ALB,2011,2,,,,101.417,Albania,2011-02-14,Valentine's Day,Observance
ALB,2011,3,,,,128.551,Albania,2011-03-08,Mothers' Day,Observance
ALB,2011,3,,,,128.551,Albania,2011-03-14,Summer Day,Public holiday
ALB,2011,3,,,,128.551,Albania,2011-03-22,Nevruz Day,Public holiday
ALB,2011,4,,,,141.269,Albania,2011-04-22,Good Friday,Observance
ALB,2011,4,,,,141.269,Albania,2011-04-22,Good Friday (Orthodox),Observance
ALB,2011,4,,,,141.269,Albania,2011-04-23,Easter Saturday (Orthodox),Observance
ALB,2011,4,,,,141.269,Albania,2011-04-23,Holy Saturday,Observance
ALB,2011,4,,,,141.269,Albania,2011-04-25,Easter Monday,Observance
ALB,2011,4,,,,141.269,Albania,2011-04-25,Easter Monday (Orthodox),Observance
ALB,2011,4,,,,141.269,Albania,2011-04-24,Easter Sunday,Public holiday
ALB,2011,4,,,,141.269,Albania,2011-04-24,Easter Sunday (Orthodox),Public holiday
ALB,2011,5,,,,136.785,Albania,2011-05-01,International Worker?s Day,Public holiday
ALB,2011,6,,,,150.219,Albania,2011-06-19,Fathers' Day,Observance
ALB,2011,7,,,,199.495,,,,
ALB,2011,8,,,,234.296,Albania,2011-08-31,Eid al-Fitr,Public holiday
ALB,2011,9,,,,174.046,Albania,2011-09-05,Mother Teresa Beatification Day,Public holiday
ALB,2011,10,,,,142.567,Albania,2011-10-31,Halloween,Observance
ALB,2011,11,,,,124.214,Albania,2011-11-07,Feast of the Sacrifice,Public holiday
ALB,2011,11,,,,124.214,Albania,2011-11-28,Flag and Independence Day,Public holiday
ALB,2011,11,,,,124.214,Albania,2011-11-29,Liberation Day,Public holiday
ALB,2011,12,,,,148.471,Albania,2011-12-24,Christmas Eve,Observance
ALB,2011,12,,,,148.471,Albania,2011-12-31,New Year's Eve,Observance
ALB,2011,12,,,,148.471,Albania,2011-12-08,National Youth Day,Public holiday
ALB,2011,12,,,,148.471,Albania,2011-12-25,Christmas Day,Public holiday
